Study Accession,Sample Accession or Sample ID,GMWI,Inverse Simpson,Richness,Shannon,Evenness
PRJEB11532,SAMEA3665082,1.9141519145746115,10.322250305838745,72.0,2.9546405634411537,0.5141900600217746
PRJEB11532,SAMEA3665083,1.2048849438823992,7.7373003878306115,59.0,2.5279372419404025,0.43993175286632563
PRJEB11532,SAMEA3665084,3.748123126737233,20.61067172866199,62.0,3.3901141828065797,0.5899746441942133
PRJEB11532,SAMEA3665085,3.6174952979708643,10.571464639695577,70.0,2.9292396988523537,0.5097695994591169
PRJEB11532,SAMEA3665086,4.326572383531149,11.864747915390552,75.0,3.101675751283665,0.5397782933241702
PRJEB11532,SAMEA3665087,0.5558789911863219,11.386541669087384,58.0,2.7538335704977612,0.47924402934990823
PRJEB11532,SAMEA3665088,3.8658212982713374,12.11856840926998,48.0,2.800760196943,0.48741057426473006
PRJEB11532,SAMEA3665089,0.17633283361981372,8.155141213001672,65.0,2.614025974261286,0.454913599046532
PRJEB11532,SAMEA3665090,3.3120814555150284,12.145328576190837,78.0,3.0661162274834104,0.5335899420561894
PRJEB11532,SAMEA3665091,3.9199801605913147,15.09353764311962,59.0,3.0492160997841404,0.5306488473648125
PRJEB11532,SAMEA3665092,1.8463978472383034,8.396160176688221,71.0,2.796960808805187,0.4867493745104179
PRJEB11532,SAMEA3665093,3.0619595872852243,5.862166129742051,47.0,2.313307839543676,0.4025802365207035
PRJEB11532,SAMEA3665094,3.4667736070676183,14.586926678825632,67.0,3.1394627688093983,0.5463542907737454
PRJEB11532,SAMEA3665095,2.846291919364029,7.899528319372645,69.0,2.877455657588746,0.5007577285686378
PRJEB11532,SAMEA3665096,0.5025913238358549,8.605175300037743,59.0,2.609122847190994,0.45406031786107653
PRJEB11532,SAMEA3665097,3.899393963970855,9.984417781618388,62.0,2.940075989528212,0.5116554169835822
PRJEB11532,SAMEA3665098,4.251090191575838,15.919801573224714,55.0,3.0513212118550515,0.5310151957171257
PRJEB11532,SAMEA3665099,4.3749373251198005,12.10215593504757,65.0,3.0188660945338,0.5253670979654343
PRJEB11532,SAMEA3665100,0.6059850178669516,5.264813738363832,59.0,2.3365588951199485,0.40662657021362797
PRJEB11532,SAMEA3665101,3.2851277933926744,6.8202829676302095,64.0,2.759407200052673,0.48021399671272047
PRJEB11532,SAMEA3665102,2.214297904878675,2.4339318186181393,75.0,1.8098130371775352,0.314958064858721
PRJEB11532,SAMEA3665103,2.052955672863899,1.2065678950053278,43.0,0.541223862450816,0.09418808289651519
PRJEB11532,SAMEA3665104,2.567711696290119,10.580594585110717,71.0,2.9285048614844214,0.5096417172134731
PRJEB11532,SAMEA3665105,4.206632561913761,15.03879092702677,61.0,3.2371264893408793,0.5633505085010027
PRJEB11532,SAMEA3665106,0.8967430826505552,16.480835330435767,55.0,3.0722694734199636,0.5346607788735652
PRJEB11532,SAMEA3665108,3.9035507796920537,17.127929650214625,58.0,3.1439212840508954,0.5471301970711135
PRJEB11532,SAMEA3665109,2.3090708617645763,8.03363925443396,58.0,2.8126563464330276,0.4894808368530096
PRJEB11532,SAMEA3665110,0.7629675988517018,3.9910973376782595,51.0,2.0840978190442825,0.3626912849993343
PRJEB11532,SAMEA3665111,3.455639000659896,3.44781058188581,73.0,2.2097647899599675,0.3845608511717536
PRJEB11532,SAMEA3665112,1.5170348710852597,4.914050640266719,73.0,2.537436511758744,0.44158489138289947
PRJEB11532,SAMEA3665113,2.665056224449387,17.362813888771974,57.0,3.126411514493623,0.5440830076528733
PRJEB11532,SAMEA3665114,2.6843149422220907,11.47881989462511,69.0,2.9722720928809956,0.5172584390635857
PRJEB11532,SAMEA3665115,2.03591473718255,8.203645519652282,74.0,2.9020465890516336,0.5050372381243338
PRJEB11532,SAMEA3665116,2.14161545272146,9.640858654842264,85.0,2.976375293598402,0.5179725107003426
PRJEB11532,SAMEA3665117,2.7723691424477037,11.538155420887016,56.0,2.8894511212425007,0.5028452745979015
PRJEB11532,SAMEA3665118,1.3440298533385606,3.104099095780475,64.0,2.0808143719313406,0.3621198734073552
PRJEB11532,SAMEA3665119,3.7427808715536246,4.7029516400022695,58.0,2.414870892459807,0.4202550470953334
PRJEB11532,SAMEA3665120,0.9680029249263609,7.515065817569615,69.0,2.742952363613641,0.47735039514949673
PRJEB11532,SAMEA3665121,2.8920314491240435,22.16965975093394,100.0,3.557918602699942,0.6191773045125283
PRJEB11532,SAMEA3665122,3.110190669595901,3.652714387728632,88.0,2.5003949118134616,0.4351386174317341
PRJEB11532,SAMEA3665123,3.1095445444744008,1.482284619648246,38.0,0.9616790450685284,0.16735903920900663
PRJEB11532,SAMEA3665124,4.327670129037712,5.548546552431053,66.0,2.6702325706470122,0.46469511816828146
PRJEB11532,SAMEA3665125,0.09322899424039544,20.225663935939956,87.0,3.450129308133584,0.6004189538256245
PRJEB11532,SAMEA3665126,1.550722676827849,4.7093692000226595,82.0,2.4376231194461733,0.42421457066801577
PRJEB11532,SAMEA3665127,2.1581551823995606,20.68140846225863,73.0,3.375942287636478,0.5875083382352746
PRJEB11532,SAMEA3665128,4.071660398588865,15.420626856987925,65.0,3.2609054010430745,0.56748870391695
PRJEB11532,SAMEA3665129,3.0730309777468947,15.056238682131564,63.0,3.2033969530582285,0.5574806262214865
PRJEB11532,SAMEA3665130,3.285403330533407,14.083300728748688,67.0,3.003251664944872,0.5226497506891261
PRJEB11532,SAMEA3665131,3.7812806028899395,9.841245623928653,56.0,2.893767737113509,0.5035964864377672
PRJEB11532,SAMEA3665132,2.714496281541025,13.040936925348008,62.0,3.0579200680552017,0.5321635811781574
PRJEB11532,SAMEA3665133,3.8001782044789354,4.861468253775629,45.0,2.226415051871014,0.387458462230558
PRJEB11532,SAMEA3665134,3.1614951539437324,14.913575910537629,73.0,3.115211410634514,0.5421338764635085
PRJEB11532,SAMEA3665135,4.3432356125627365,20.46105804158512,66.0,3.353817397596039,0.5836579888294507
PRJEB11532,SAMEA3665136,4.059413551728763,7.700786826083212,59.0,2.732557581784313,0.47554141250745574
PRJEB11532,SAMEA3665137,3.1252927908181167,14.073920569787601,68.0,3.0949818579108186,0.5386133687381641
