GMHI,Richness,Evenness,Shannon,Inverse Simpson
1.4659,83,0.6158,3.5383,25.2453
-0.0185,73,0.4795,2.755,10.3741
-0.006,62,0.445,2.5573,7.962
0.8282,61,0.5049,2.9013,11.4648
0.1018,88,0.5045,2.8989,9.6787
0.3858,82,0.4197,2.4119,4.325
-1.3089,71,0.5069,2.9129,12.4531
2.2322,78,0.5295,3.0429,12.2148
1.1916,97,0.566,3.2526,16.5328
-3.848,34,0.314,1.8043,3.076
0.447,36,0.4842,2.7822,11.3856
0.2061,64,0.4681,2.6896,7.9929
-0.4515,104,0.5397,3.1014,14.3056
-4.1219,67,0.5108,2.9354,12.8996
-3.827,41,0.3977,2.2852,6.0897
2.149,87,0.574,3.2984,17.6239
-0.3626,88,0.4605,2.6462,7.4249
-4.4252,59,0.4041,2.3218,4.8068
1.5789,90,0.5645,3.2436,15.7454
-0.0981,103,0.6083,3.4953,22.3927
-1.2992,44,0.4948,2.8432,11.4241
3.1221,46,0.5069,2.9126,12.3281
1.5017,28,0.3798,2.1826,6.5492
1.165,34,0.2369,1.3612,1.9325
3.0977,58,0.4959,2.8496,11.3137
1.9451,30,0.3959,2.2747,6.3286
-0.4502,70,0.518,2.9766,14.9859
-2.4027,89,0.5007,2.8771,10.696
-0.503,68,0.391,2.2465,3.691
0.5754,97,0.6229,3.5794,23.9254
1.4847,102,0.5832,3.3511,10.8347
-0.1765,107,0.5228,3.004,9.5158
1.6097,74,0.4168,2.3953,4.3875
-2.4875,50,0.4053,2.329,5.8621
0.1405,70,0.4757,2.7334,8.6375
2.2473,61,0.3495,2.008,3.7349
-2.2028,75,0.5297,3.0435,14.5354
2.6615,37,0.3568,2.0505,4.1797
0.0,30,0.4331,2.4886,8.6063
-0.0999,90,0.5227,3.0034,12.4646
3.4924,56,0.5085,2.9221,13.4545
2.2734,49,0.4375,2.514,6.8772
0.3467,51,0.4776,2.7443,9.4161
-0.0852,52,0.4805,2.7611,9.4918
2.8371,46,0.4819,2.7691,8.9998
-0.2859,47,0.4596,2.6409,7.2457
0.9482,45,0.3395,1.9511,3.2651
2.2379,36,0.4352,2.5007,6.9619
2.4957,42,0.4413,2.5359,6.4702
0.4899,74,0.4821,2.7701,7.9911
-0.2806,55,0.4143,2.3809,6.0217
-2.8304,69,0.4957,2.8482,10.3837
0.2498,83,0.48,2.758,6.9539
2.2442,80,0.5592,3.213,14.7622
-1.0509,77,0.518,2.9767,13.0354
2.2268,82,0.5214,2.9958,11.1267
